new CarsPrice[][] = {
	{400,40000},
	{401,19000},
	{402,130000},
	{404,15000},
	{405,22000},
	{410,17000},
	{411,370000},
	{412,20000},
	{413,21000},
	{415,300000},
	{418,25000},
	{421,45000},
	{422,23000},
	{426,30000},
	{429,330000},
	{434,55000},
	{436,20000},
	{439,35000},
	{445,25000},
	{451,350000},
	{458,17000},
	{466,27000},
	{467,29000},
	{474,20000},
	{475,22000},
	{477,100000},
	{479,10000},
	{480,66000},
	{481, 1500},
	{482,35000},
	{483,20000},
	{489,36000},
	{491,21900},
	{492,25000},
	{496,23000},
	{500,34000},
	{506,90000},
	{507,34000},
	{509, 1000},
	{510, 3500},
	{516,19000},
	{517,19876},
	{518,20000},
	{526,31000},
	{527,25000},
	{529,26000},
	{533,39000},
	{534,27000},
	{535,30000},
	{536,25000},
	{540,18000},
	{541,390000},
	{542,14000},
	{543,15000},
	{545,20000},
	{546,23000},
	{547,20000},
	{549,14000},
	{550,23000},
	{551,30000},
	{554,35000},
	{555,29000},
	{558,45000},
	{559,50000},
	{560,60000},
	{561,56000},
	{562,65000},
	{565,50000},
	{566,45000},
	{567,39000},
	{575,25000},
	{576,29000},
	{579,55000},
	{580,50000},
	{585,24000},
	{587,48000},
	{600,21000},
	{602,39000},
	{603,40000},
	{461,40000},
	{462,5000},
	{463,30000},
	{468,19000},
	{471,17000},
	{521,50000},
	{522,103000},
	{581,35000},
	{586,30000}
};
